Time	Raw
22:46:10.633	136
22:46:10.633	92
22:46:10.633	-10
22:46:10.633	8
22:46:10.633	26
22:46:10.633	19
22:46:10.633	96
22:46:10.633	197
22:46:10.633	98
22:46:10.633	-2
22:46:10.633	99
22:46:10.633	132
22:46:10.633	10
22:46:10.633	-28
22:46:10.633	35
22:46:10.633	12
22:46:10.633	42
22:46:10.633	132
22:46:10.633	149
22:46:10.633	66
22:46:10.664	108
22:46:10.664	132
22:46:10.664	59
22:46:10.664	-7
22:46:10.664	50
22:46:10.664	25
22:46:10.664	20
22:46:10.664	81
22:46:10.664	130
22:46:10.664	21
22:46:10.695	68
22:46:10.695	180
22:46:10.695	162
22:46:10.695	61
22:46:10.695	45
22:46:10.695	-49
22:46:10.695	-117
22:46:10.695	-69
22:46:10.695	35
22:46:10.695	-12
22:46:10.695	3
22:46:10.695	132
22:46:10.695	148
22:46:10.695	17
22:46:10.695	-27
22:46:10.695	-29
22:46:10.695	-83
22:46:10.695	-34
22:46:10.695	96
22:46:10.695	45
22:46:10.695	-33
22:46:10.695	103
22:46:10.695	180
22:46:10.695	104
22:46:10.725	55
22:46:10.725	67
22:46:10.725	-17
22:46:10.725	-40
22:46:10.725	12
22:46:10.725	16
22:46:10.757	-73
22:46:10.757	20
22:46:10.757	132
22:46:10.757	144
22:46:10.757	72
22:46:10.757	59
22:46:10.757	-62
22:46:10.757	-132
22:46:10.757	-28
22:46:10.757	92
22:46:10.757	-10
22:46:10.757	-38
22:46:10.757	74
22:46:10.757	130
22:46:10.757	56
22:46:10.757	60
22:46:10.757	9
22:46:10.757	-67
22:46:10.757	-33
22:46:10.757	64
22:46:10.757	-25
22:46:10.757	-69
22:46:10.757	65
22:46:10.757	116
22:46:10.790	44
22:46:10.790	39
22:46:10.790	39
22:46:10.790	-75
22:46:10.790	-101
22:46:10.790	4
22:46:10.790	49
22:46:10.790	22
22:46:10.790	133
22:46:10.790	186
22:46:10.821	106
22:46:10.821	48
22:46:10.821	67
22:46:10.821	-22
22:46:10.821	-76
22:46:10.821	-40
22:46:10.821	20
22:46:10.821	-19
22:46:10.821	92
22:46:10.821	220
22:46:10.821	210
22:46:10.821	107
22:46:10.821	105
22:46:10.821	20
22:46:10.821	-72
22:46:10.821	-50
22:46:10.821	73
22:46:10.821	52
22:46:10.821	74
22:46:10.821	195
22:46:10.821	226
22:46:10.821	138
22:46:10.821	134
22:46:10.821	97
22:46:10.853	-33
22:46:10.853	-52
22:46:10.853	22
22:46:10.853	-24
22:46:10.853	-11
22:46:10.853	165
22:46:10.853	268
22:46:10.853	201
22:46:10.853	116
22:46:10.853	57
22:46:10.853	-53
22:46:10.885	-69
22:46:10.885	-1
22:46:10.885	9
22:46:10.885	-61
22:46:10.885	44
22:46:10.885	149
22:46:10.885	133
22:46:10.885	74
22:46:10.885	88
22:46:10.885	-17
22:46:10.885	-91
22:46:10.885	-57
22:46:10.885	12
22:46:10.885	-33
22:46:10.885	36
22:46:10.885	155
22:46:10.885	162
22:46:10.885	36
22:46:10.885	19
22:46:10.885	-26
22:46:10.885	-119
22:46:10.885	-117
22:46:10.917	-26
22:46:10.917	-42
22:46:10.917	6
22:46:10.917	167
22:46:10.917	224
22:46:10.917	109
22:46:10.917	48
22:46:10.917	16
22:46:10.948	-84
22:46:10.948	-92
22:46:10.948	-3
22:46:10.948	-27
22:46:10.948	-66
22:46:10.948	107
